gold_canonical_key,domain_gold_df_fit,max_domain_gold_df_fit,fit_record_count
모방 욕망,1,18,748
모방예술,1,18,748
모방춤,1,18,748
모사성,1,18,748
모순,1,18,748
모음,1,18,748
모음 체계,2,18,748
모음조화,1,18,748
모,1,18,748
모,1,18,748
목소리,1,18,748
목적어,1,18,748
목적지향성,1,18,748
목표,1,18,748
몰개성화,1,18,748
몰입,1,18,748
몰입성,1,18,748
몸,2,18,748
몹시,1,18,748
몽골 어군,1,18,748
몽골어,4,18,748
몽어노걸대,1,18,748
무격언어,1,18,748
무계획,1,18,748
무대-스크린,1,18,748
무속,2,18,748
무속신화,1,18,748
무와 유,1,18,748
무크,1,18,748
무표화,1,18,748
무한,1,18,748
무한도전,2,18,748
무효화,1,18,748
문답과정,1,18,748
문두성분,1,18,748
문말의 ‘좀’,1,18,748
문맥,2,18,748
문명충돌,1,18,748
문법,1,18,748
문법 교수 역량,1,18,748
문법 교육,2,18,748
문법 모형,1,18,748
문법 범주,1,18,748
문법 오류,1,18,748
문법 오류판단,1,18,748
문법 항목,1,18,748
문법 형태 습득,1,18,748
문법 형태 습득 순서,1,18,748
문법교육,1,18,748
문법상,1,18,748
문법적 시간 표현,1,18,748
문법적 접근,1,18,748
문법적인 오류,1,18,748
문법지식 응용화,1,18,748
문법체계,1,18,748
문법화,14,18,748
문식성,1,18,748
문어,1,18,748
문어산출,1,18,748
문어체,1,18,748
문의,1,18,748
문자,1,18,748
문자 매체,1,18,748
문자 목록,1,18,748
문자 표기 방식,1,18,748
문자-도상,1,18,748
문자-지표,1,18,748
문자기호,1,18,748
문자기호학,1,18,748
문자의 형상성,1,18,748
문자적 추상화,1,18,748
문자정보기술,1,18,748
문장,1,18,748
문장 부호,1,18,748
문장 성분,2,18,748
문장서법,1,18,748
문장성분,1,18,748
문장초월적,1,18,748
문제 해결형 글,1,18,748
문체,3,18,748
문체 구조,1,18,748
문체법,1,18,748
